Fish-SPRICH: a database of freshwater fish species richness across the World   																
Sébastien Brosse, Olivier Beauchard, Simon Blanchet, Hans H. Dürr, Gaël Grenouillet, Bernard Hugueny, Christine Lauzeral, Fabien Leprieur, Pablo A. Tedesco, Sébastien Villéger, Thierry Oberdorff																
																
ESM2. The Fish-SPRICH database.																
																
The information given in the Fish-SPRICH database is organised alphabetically by river basin name. Fish richness and environmental descriptors are listed horizontally. Columns are as follows: 																
" - Basin is the river basin name as found in the literature. When a basin was unnamed, it was identified by the name of the country or of the region followed by "".un""."																
 - TotalR is the total richness, i.e. the total number of freshwater fish species living in the river basin. It accounts for both native and non-native species.																
 - NativeR  is the native richness, i.e. the number of freshwater fish species native to the basin (including endemic species).																
 - Non-nativeR is the non-native (or exotic ) richness, i.e. the number of freshwater fish species introduced into a basin and that have become established (i.e. self-reproducing populations) in the basin. 																
 - EndemicR is the endemic richness, i.e. the number of endemic freshwater fish species in the basin. Endemic species are those inhabiting only one river drainage basin (i.e. single-drainage endemics).																
 - Brealm is the biogeographic realm to which the basin belongs, as described by Leveque et al. (2008) and Balian et al. (2008) during the Freshwater Animal Diversity Assessment project (http://FADA.biodiversity.be).																
  - Latrivermouth and Lonrivermouth are the geographical coordinates (latitude and longitude in decimal degrees) of the river mouth in degrees.																
 - Lonmin, Lonmax, Lonmed, Latmin, Latmax, Latmed are the minimal, maximal and median coordinates (longitude and latitude in decimal degrees) of the river basin.																
 - Minalt, Maxalt are the minimum and maximum altitudes in meters above sea level of the basin. Note that the minimum altitude can differ from zero for endorheic basins.																
  - Area is the total surface area covered by the river basin in square kilometers.																
																
																
Basin	TotalR	NativeR	Non-nativeR	EndemicR	Brealm	Latrivermouth	Lonrivermouth	Lonmin	Lonmax	Latmin	Latmax	Lonmed	Latmed	Minalt	Maxalt	Area
Acisu	8	7	1	0	Palearctic	36.84	31.1	31.01	31.14	36.87	36.94	31.08	36.91	0	1766	2400
Aconcagua	22	16	6	0	Neotropical	-32.92	-71.52	-71.53	-70.06	-33.09	-32.33	-70.8	-32.71	0	2883	7340
Adako.un	11	11	0	0	Palearctic	34.39	136.89	136.88	136.89	34.39	34.4	136.89	34.4	0	318	10
Adana	3	3	0	0	Afrotropical	46.2	15.7	43.8	46.2	14.6	17	45	15.8	703	1601	44719
Adelaide	22	22	0	0	Australian	-12.21	131.22	130.96	131.6	-13.59	-12.22	131.28	-12.91	0	245	7466
Adour	40	26	14	0	Palearctic	43.53	-1.52	-1.52	0.32	42.74	44.16	-0.6	43.45	0	355	16960
Agneby	50	50	0	0	Afrotropical	5.29	-4.34	-4.64	-3.8	5.29	6.93	-4.22	6.11	0	150	8520
Agrioun	2	2	0	0	Palearctic	36.64	5.34	5.09	5.49	36.34	36.64	5.29	36.49	0	1109	2400
Aguan	18	18	0	0	Neotropical	15.95	-85.69	-87.4	-85.63	14.83	15.97	-86.52	15.4	0	601	9943
Ahaggar	5	5	0	0	Palearctic	21.36	10.2	7.03	10.2	21.36	25.08	8.62	23.22	519	1265	145371
Aksu	10	6	4	0	Palearctic	36.86	30.92	30.47	31.39	36.86	38.46	30.93	37.66	0	2344	54000
Alabama	200	191	9	21	Nearctic	30.7	-87.97	-89	-85	30.78	34.74	-87	32.76	0	708	138139
Alafia	33	29	4	0	Nearctic	27.85	-82.39	-82.39	-82.02	27.72	28	-82.21	27.86	0	30	868
Alagnak	18	18	0	0	Nearctic	59.02	-156.77	-156.76	-154.62	58.75	59.25	-155.69	59	0	1534	3600
Alara	9	7	2	0	Palearctic	36.66	31.65	31.65	32.33	36.66	36.87	31.99	36.77	0	2300	700
Alaska.un.1	6	6	0	0	Nearctic	56.76	-157.48	-157.57	-157.48	56.76	56.83	-157.53	56.8	0	350	15
Alaska.un.2	3	3	0	0	Nearctic	56.8	-157.44	-157.45	-157.42	56.8	56.81	-157.44	56.81	0	350	2
Alazeja	28	28	0	0	Palearctic	70.86	153.85	147.53	155.59	67.64	70.86	151.56	69.25	0	267	85000
Albany	36	36	0	0	Nearctic	52.27	-81.51	-93	-81.5	48.47	52.43	-87.25	50.45	0	457	133000
Albegna	14	4	10	0	Palearctic	11.19	42.51	11.19	11.53	42.48	42.81	11.36	42.65	0	447	749
Aldoma	15	15	0	0	Palearctic	56.83	138.42	137.23	138.42	56.39	56.99	137.83	56.69	0	884	2100
Aliakmon	34	30	4	0	Palearctic	40.48	22.65	20.8	22.64	39.84	40.74	21.72	40.29	0	1736	8700
Alsek	28	27	1	0	Nearctic	59.19	-138.49	-138.51	-136.43	59.16	61.62	-137.47	60.39	0	1822	28023
Altaelva	9	8	1	0	Palearctic	69.97	23.39	22.78	23.86	69.51	69.97	23.32	69.74	0	465	7373
Altamaha	81	81	0	0	Nearctic	31.31	-81.41	-84.43	-81.41	31.19	34.39	-82.92	32.79	0	303	37600
Amazon	1802	1798	4	810	Neotropical	0.44	-49.9	-78.76	-51	-19.19	5.42	-64.88	-6.89	0	4980	6145186
Ameca	24	21	3	5	Neotropical	20.68	-105.28	-105.29	-103.7	20.11	21.24	-104.5	20.68	0	2001	13025
Amguema	21	21	0	0	Palearctic	68.24	177.45	177.2	177.51	66.51	68.24	177.35	67.38	258	1116	28100
Amu.Darya	61	47	14	3	Palearctic	44.03	59.56	58.18	75.15	34.52	43.97	66.67	39.25	46	5044	534739
Amur	124	114	10	9	Palearctic	53.09	140.81	108.4	141	42.61	55.6	124.7	49.11	0	1692	1929955
Anabar	30	30	0	0	Palearctic	73.33	113.65	106.46	118.63	68.75	73.33	112.55	71.04	0	819	94000
Anadyr	31	30	1	2	Palearctic	64.75	177.56	165.29	178	62.28	68.28	171.65	65.28	0	925	191000
Anasco	28	26	2	0	Neotropical	18.27	-67.18	-67.18	-66.77	18.14	18.3	-66.98	18.22	0	915	481
Andalien	21	17	4	0	Neotropical	-36.74	-73.02	-73.05	-72.65	-36.87	-36.74	-72.85	-36.81	0	1595	600
Anderson	18	18	0	0	Nearctic	69.7	-129.03	-129	-122.29	66.49	69.69	-125.65	68.09	0	600	66500
Andranangoo	10	10	0	0	Australian	-11.35	130.85	130.85	131.1	-11.68	-11.33	130.98	-11.51	0	na	330
Andreevka	4	4	0	0	Palearctic	43.84	145.56	145.56	145.63	43.84	43.89	145.6	43.87	0	na	8
Aniakchak	17	17	0	0	Nearctic	56.76	-157.52	-158.2	-157.51	56.76	56.94	-157.86	56.85	0	350	400
Ankobra	15	15	0	0	Afrotropical	4.9	-2.27	-2.48	-1.73	4.9	6.39	-2.11	5.65	0	209	8461
Anseongcheon	66	63	3	1	Palearctic	37	126.99	126.99	127.14	37	37.27	127.07	37.14	0	977	2551
Ansons	11	10	1	0	Australian	-41.05	148.26	148.09	148.26	-41.24	-41	148.18	-41.12	0	na	244
Apalachicola	107	98	9	2	Nearctic	29.72	-84.99	-85.86	-83.6	29.73	34.82	-84.73	32.28	0	512	50688
Approuague	182	182	0	2	Neotropical	4.54	-51.94	-53.24	-51.83	3.2	4.53	-52.54	3.87	0	103	10850
Apuka	20	20	0	0	Palearctic	60.44	169.64	169.75	171.66	60.42	62.29	170.71	61.36	0	1342	13827
Arade	16	11	5	1	Palearctic	37.15	-8.5	-8.51	-8.15	37.15	37.36	-8.33	37.26	0	129	990
Arawhata	14	12	2	0	Australian	-43.99	168.67	168.43	168.72	-44.46	-43.99	168.58	-44.23	0	1360	450
Argens	40	26	14	0	Palearctic	43.42	6.73	5.79	6.77	43.3	43.62	6.28	43.46	0	1146	4039
Armark	9	9	0	0	Nearctic	67.8	-100.56	-100.55	-98.52	66.31	67.8	-99.54	67.06	0	156	2043
Armeria	26	20	6	1	Neotropical	18.86	-103.96	-104.6	-103.69	18.86	20.45	-104.15	19.66	0	1998	9803
Arnaud	6	6	0	0	Nearctic	60	-70	-75.04	-70	58.51	61.66	-72.52	60.09	0	307	49500
Asah	4	4	0	0	Oriental	2.72	104.2	104.2	104.21	2.72	2.74	104.21	2.73	0	na	821
Ashburton	12	12	0	0	Australian	-21.7	114.92	114.97	118.74	-24.14	-21.71	116.86	-22.93	0	960	1641
Athi	83	76	7	1	Afrotropical	-3.15	40.14	36.62	40.14	-3.37	-0.84	38.38	-2.11	0	2469	3694
Atrak	31	27	4	0	Palearctic	37.44	53.88	53.89	59	38.65	37	56.45	37.83	-5	2374	452
Atrato	115	115	0	15	Neotropical	8.19	-76.94	-77.73	-76.05	5.17	8.16	-76.89	6.67	0	2984	1464
Aude	43	30	13	0	Palearctic	43.21	3.22	1.95	3.23	42.55	43.46	2.59	43.01	0	2185	885
Aulne	18	17	1	0	Palearctic	48.25	-4.16	-4.16	-3.32	48.16	3.51	-3.74	48.25	0	140	1875
Avon.Aus	16	12	4	0	Australian	-38.05	147.26	146.9	147.3	-38.1	-37.5	147.1	-37.8	20	610	7333
Avon.Eng	25	21	4	0	Palearctic	51.5	-2.72	-2.72	-1.91	51.16	51.6	-2.32	51.38	0	84	1609
Avon.Moors	25	23	2	0	Palearctic	50.73	-1.77	-2.54	-1.65	50.73	51.34	-2.1	51.04	0	140	1770
Awe	11	11	0	0	Palearctic	56.44	-5.23	-5.45	-4.58	56.14	56.68	-5.02	56.41	0	534	1979
Axios	39	34	5	0	Palearctic	40.53	22.72	20.71	22.8	40.53	42.44	21.76	41.49	0	1614	2156
Azuri	8	8	0	0	Palearctic	34.26	136.78	136.78	136.79	34.26	34.27	136.79	34.27	0	150	10
Babol	44	38	6	0	Palearctic	36.71	52.64	52.4	52.87	36.04	36.71	52.64	36.38	-29	547	1640
Back	13	13	0	0	Nearctic	66.79	-95.87	-108.03	-94.61	64.02	66.65	-101.32	65.34	0	456	2043
Bagru	15	15	0	0	Afrotropical	7.74	-12.48	-12.53	-12.17	7.79	9.49	-12.35	8.64	0	247	2922
Baharu	12	12	0	0	Oriental	2.8	104.2	104.19	104.21	2.8	2.81	104.2	2.81	0	na	1609
Bakhura	8	8	0	0	Palearctic	47.22	143.02	142.92	143.02	47.19	47.22	142.97	47.21	0	604	2623
